Municipio;População residente;Perc População Rural; Unidade Domestica ; Rendimento mensal total domiciliar per capita nominal ;Perc Alfabetizacao;Perc Saneamento Adequado;Perc Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência;Perc Pessoas mais de 10 anos com rendimento;Perc Pessoas acima 25 anos com pelo menos fundamento completo;Perc Economicamente Ativa com Rendimento;IDHM 2010;IDHM Faixas;IDHM Renda 2010;IDHM Longevidade 2010;IDHM Educação 2010;Gini
Itanhém;20216;29,73;6238;367;62,49;61,94;85,61;66,82;29,2;51,55;63,7;Alto;56,4;78,2;49,7;54,24
Itaparica;20725;0;6341;334;88,81;40,83;84,52;60,04;49,79;52,21;67;Alto;56,6;77,7;49,8;60,35
Itapicuru;32261;79,31;9000;192;47,07;8,62;80,82;58,98;11,92;55,18;48,6;Baixo;56,5;78,7;52,5;54,99
Itiúba;36113;73,14;9991;205;62,67;18,15;81,47;58,88;19,86;49;54,4;Baixo;61,1;80,8;49,8;56,98
Ituberá;26591;27,6;7388;291;71,16;33,36;81,32;68,49;31,14;59,21;60,6;Médio Alto;54,6;76,6;55,3;51,14
Jaguarari;30343;45,25;9092;320;72,92;54,54;84,15;57,1;35,07;46,42;65,9;Alto;60,9;76,4;52,4;67,48
Jeremoabo;37680;53,72;10734;241;54,42;31,68;81,88;65,91;19,52;57,86;54,7;Baixo;60;80,7;51;53,6
João Dourado;22549;39,82;6233;227;71,09;4,17;80,43;65,16;26,51;52,61;59,3;Médio Alto;58,7;79,3;49,1;53,84
Laje;22201;72,61;6355;232;60;19,04;82,94;65,35;25,49;59,98;58,6;Médio Baixo;57,4;78,6;50,3;51,41
Lapão;25646;60,81;7277;222;70,01;8,25;81,64;65,29;28,95;52,29;59,6;Médio Alto;56,4;78,9;51,4;52,64
Livramento de Nossa Senhora;42693;51,91;11394;307;67,79;26,71;85,05;60,92;24,59;47,27;61,1;Médio Alto;62,1;76,9;54,1;53,78
Macaúbas;47051;67,25;12102;262;60,8;23,48;84,08;58,03;22,5;49,51;60,9;Médio Alto;63,6;77,2;55,8;56,04
Maracás;24613;28,06;7495;241;63,34;6,28;84,25;68,32;26,33;54,51;60,7;Médio Alto;61,4;75,1;46,5;51,78
Maragogipe;42815;41,39;12003;246;65,85;37,71;84,37;62,39;32,6;55,04;62,1;Alto;62,4;79;52,5;57,41
Mata de São João;40183;25,78;11693;380;82,96;35,95;83,09;58,24;46,79;52,83;66,8;Alto;60,1;78,4;55,5;58,66
Medeiros Neto;21560;20,85;6852;349;63,98;30,95;84,26;65,76;27,53;50,2;62,5;Alto;57,6;74,4;50,8;54,34
Miguel Calmon;26475;39,32;8120;255;69,88;36,44;83,62;66,64;25,16;55,2;58,6;Médio Baixo;60,8;76,6;48,7;54,8
Morro do Chapéu;35164;42,36;9928;245;69,25;7,91;81,3;62,72;25,94;53,32;58,8;Médio Baixo;63,8;76,9;48,5;51,65
Mucuri;36026;23,69;10541;442;74,29;16,9;81,51;60,17;42,75;55,6;66,5;Alto;60,6;76,6;54,8;59,69
Mundo Novo;24395;44,4;6720;245;67,36;32,43;82,61;60,28;21,64;50,67;59;Médio Alto;57,3;78,6;50,4;65,85
Muritiba;28899;37,58;8318;340;74,54;12,68;85,14;62,48;40,52;52,67;66;Alto;62,6;77,7;50,1;56,18
Mutuípe;21449;54,97;6491;280;64,63;41,86;84,58;67,04;23,34;56,69;60,1;Médio Alto;59,5;76,6;46,9;64,23
Nazaré;27274;16,17;7981;324;72,22;49,67;84,93;64,06;41;53,63;64,1;Alto;56,9;77,7;52,7;61,05
Nova Soure;24136;51,4;6904;211;55,84;0,8;82,27;56,45;22,09;48,77;55,5;Baixo;58;76,7;49,8;57,86
Nova Viçosa;38556;13,05;11188;378;73,37;12,62;80,69;63,67;34,83;56,48;65,4;Alto;61,5;77,5;53,3;62,3
Olindina;24943;48,79;7133;213;58,57;44,64;82,12;50,63;22,53;42,88;55,9;Baixo;57,8;80,5;47,9;59,67
Oliveira dos Brejinhos;21831;69,84;6120;210;67,98;4,18;83,78;52,29;20,6;38,61;55,4;Baixo;53,4;77,5;49;57,26
Palmas de Monte Alto;20775;52,67;5500;229;57,19;5,56;84,54;64,76;20,86;52,65;58,6;Médio Baixo;59,8;73,9;47,4;49,36
Paramirim;21001;52,25;5626;334;68,54;27,48;86,43;62,45;28,22;54,19;61,5;Alto;58,8;76,2;48,2;51,34
Paratinga;29504;63,04;7211;187;65,59;1,05;81,74;51,28;25,15;45,65;59;Médio Alto;58,2;77,5;53,1;55,47
Paripiranga;27778;65,68;8046;254;58,42;14,55;84,26;58,45;21,17;45,05;57,7;Médio Baixo;61,1;77,1;47,6;59,11
Pilão Arcado;32860;66,44;8204;172;59,04;0,59;79,53;52,93;15,05;43,75;50,6;Baixo;60,7;75,8;50,7;60,16
Pindobaçu;20121;44,15;6062;228;64,58;27,14;81,43;58,93;27,42;50,39;57,7;Médio Baixo;56,1;74,6;49,6;51,45
Piritiba;22399;32,31;6671;239;68,79;34,46;82,49;63,19;24,88;49,4;57,8;Médio Baixo;53,9;77,5;53,7;52,64
Planalto;24481;39,26;6891;252;57,05;0,78;82,73;64,47;19,37;52,9;56;Baixo;55,1;73,9;55;46,34
Poções;44701;22,46;12887;267;61,11;62,69;82,14;63,1;25;51,35;60,4;Médio Alto;57,9;77,3;57,4;55,27
Pojuca;33066;14,18;9605;404;85,99;81,02;84,08;57,1;49,2;54,72;66,6;Alto;60,2;82,1;51,6;52,5
Prado;27627;43,99;7559;321;72,61;11,85;80,5;66,42;32,67;58,09;62,1;Alto;60,2;73,5;52,2;56,07
Presidente Tancredo Neves;23846;59,87;6509;228;59,01;25,17;81,09;65,98;21,67;59,99;55,9;Baixo;60,1;76,9;48,2;55,17
Queimadas;24602;49,22;7008;233;65,94;33,06;82,68;63,27;25,81;53,78;59,2;Médio Alto;60,8;78,9;47,6;52,01
Quijingue;27228;76,58;7232;194;50,8;9,31;82,72;58,08;16,07;48,67;54,4;Baixo;58,3;79,8;47,4;58,33
Rafael Jambeiro;22874;70,05;6265;213;57,38;11,01;82,5;59,49;18,12;52,79;56,4;Baixo;51,9;77,4;51;50,31
Remanso;38957;39,75;10585;253;60,48;48,02;81,9;61,99;24,59;53,45;57,9;Médio Baixo;58,8;75,5;55,9;54,65
Riachão das Neves;21937;51,02;5911;218;56,58;3,54;82,85;51,45;21,85;39,14;57,8;Médio Baixo;53,3;73,4;53;54,34
Riachão do Jacuípe;33172;40,13;10155;287;72,54;56,84;85,53;67,57;32,89;54,06;62,8;Alto;61,6;80,7;49,2;48,07
Riacho de Santana;30646;57,28;7987;233;58,88;5,21;83,85;62,29;25,14;51,63;61,5;Alto;61,3;77,5;51;56,25
Ribeira do Pombal;47518;37,38;13834;311;61,59;23,51;83,2;64,16;28,45;52,44;60,1;Médio Alto;61,5;76,2;57,7;54,38
Rio Real;37164;37,28;10648;243;65,35;6,68;82;65,5;24;56,02;57,2;Médio Baixo;63,6;75,2;51,6;53,79
Ruy Barbosa;29887;26,08;8758;270;67,15;49,86;82,65;61,52;28,32;51,35;61;Médio Alto;59;77,7;52,7;56,34
Santa Cruz Cabrália;26264;27,65;7784;336;78,32;40,89;79,39;63,61;41,48;58,58;65,4;Alto;62,6;79,1;47,3;58,75
Santa Maria da Vitória;40309;40,92;11126;299;64,96;10,04;83,34;62,99;29,86;51,35;61,4;Médio Alto;59,8;79,5;53,1;54,75
Santa Rita de Cássia;26250;43,21;7193;227;69,91;13,21;82,41;58,12;26,97;50,43;60,5;Médio Alto;61,5;76,2;49,1;60,61
Santaluz;33838;38,55;9440;231;65,9;51,71;82,77;66,03;27,62;55,49;59,8;Médio Alto;60,5;74,8;55,5;49,99
Santana;24750;45,52;6956;273;62,03;7,3;83,52;64,23;25,66;53,7;60,8;Médio Alto;64,1;77,4;46,7;55,18
Santo Estêvão;47880;42,17;13126;287;68,71;6,48;83,21;62,14;30,54;59,79;62,6;Alto;62,4;78,4;57,1;57,55
São Desidério;27659;68,79;7033;309;64,47;5,91;80,61;53,85;24,8;49,47;57,9;Médio Baixo;57,5;75,8;54;57,53
São Felipe;20305;51,64;5946;241;65,14;8,14;85,94;63,8;28,95;55,19;61,6;Alto;58,9;74,4;49,6;51,01
São Francisco do Conde;33183;17,45;9429;355;85,3;60,64;83,51;57,82;46,27;57;67,4;Alto;61,5;77,8;53,2;51,98
São Gonçalo dos Campos;33283;50,41;9015;315;77,71;5,96;83,49;63,45;38,46;58,42;62,7;Alto;56,6;79;56,4;56,81
São Sebastião do Passé;42153;21,45;12317;371;79,21;53,06;84,72;58,96;44,24;52,22;65,7;Alto;58,2;76,9;58,3;54,64
Seabra;41798;51,49;11493;292;77,06;2,26;82,08;63,8;33,29;58,36;63,5;Alto;62,3;72,9;56,8;58,03
Sento Sé;37425;42,08;9171;201;66,81;28,66;78,97;59,77;23,35;49,76;58,5;Médio Baixo;57,8;78,4;55,3;53,43
Serra do Ramalho;31638;80,17;8272;200;65,92;0,8;80,63;54,17;27,55;41,66;59,5;Médio Alto;58,2;79,3;51,8;54,67
Sobradinho;22000;9,08;6088;315;73,82;73,72;81,84;59,64;35,41;48,11;63,1;Alto;60;73,6;49,3;51,6
Tanhaçu;20013;58,58;5679;240;60,43;12,13;85,18;64,56;20,38;53,13;57,7;Médio Baixo;55;70,4;53,7;50,83
Teofilândia;21482;68,85;5532;253;64,99;21,44;81,39;59,47;23,38;53,55;56,6;Baixo;54,7;78,3;48,2;54,75
Uauá;24294;55,71;7055;239;65,06;2,21;84;59,28;25,83;47,83;60,5;Médio Alto;57,2;79,1;50,8;57,77
Ubaitaba;20691;14,95;6015;318;69;61,26;82,39;64,64;31,85;50,93;61,1;Médio Alto;50,3;75,2;56,8;56,19
Ubatã;25004;28,21;6774;269;61,29;51,33;82,72;58,88;32,9;50,16;59,3;Médio Alto;60,7;76,7;49;53,56
Una;24110;37,66;7209;269;63,94;21,86;81,34;64,85;25,82;54,45;56;Baixo;59,6;79,6;43,4;51,78
Valente;24560;45,09;7517;322;75,2;45,23;85,28;72,02;34,84;61,79;63,7;Alto;57,2;76,4;53,2;49,83
Vera Cruz;37567;6,18;11749;362;84,17;20,13;83,81;62,56;42,08;52,52;64,5;Alto;58,8;76,1;57,2;57,87
Wenceslau Guimarães;22189;66,15;6021;227;57,95;23,72;80,57;68,02;20,59;58,14;54,4;Baixo;54,9;80,4;45,9;45,2
Xique-Xique;45536;28,54;11618;258;69,39;32,35;80,43;58,37;30,66;50,67;58,5;Médio Baixo;60,1;78;54,8;56,78
Araci;51651;61,98;13612;195;53,46;28,17;80,48;59,66;19,99;52,94;53,4;Baixo;59,4;75,4;59,4;56,67
Bom Jesus da Lapa;63480;32,11;16344;314;72,79;30,02;81,04;62,03;38,29;53,79;63,3;Alto;67,9;80,1;54,1;60,48
Brumado;64602;30,14;18506;371;74,95;60,53;85,78;65,97;39,28;55,09;65,6;Alto;64,5;81,9;55,9;52,26
Campo Formoso;66616;62,68;17999;233;65,32;9,16;81,85;62,98;25,93;55,49;58,6;Médio Baixo;64,8;81,8;56,2;57,13
Candeias;83158;8,61;24892;403;86,32;66,58;84,61;59,47;52,86;56,38;69,1;Alto;66;81,4;57,8;51,2
Casa Nova;64940;42,19;17074;247;64,9;34,96;80,73;60,37;23,94;53,06;57;Médio Baixo;66,7;79;56,2;54,83
Catu;51077;16,29;15169;419;82,89;65,49;85,41;56,63;47,71;49,09;67,7;Alto;63;80,7;55,4;57,96
Conceição do Coité;62040;41,52;18519;297;70,81;29,12;83,12;69,7;29,73;61,87;61,1;Médio Alto;62,9;79,6;57,3;49,46
Cruz das Almas;58606;14,88;17226;441;81,82;16,57;85,74;62,15;54,27;54,12;69,9;Alto;63,8;77,3;59,9;57,34
Dias d'Ávila;66440;5,97;19888;413;88,1;55,01;81,83;59,22;53,45;55,73;67,6;Alto;66,3;78,9;58,4;53,37
Euclides da Cunha;56289;51,29;15857;251;60,03;7,61;83,14;62,49;21,54;54,12;56,7;Médio Baixo;64,4;80,6;55,1;55,59
Guanambi;78833;20,64;22288;411;76,28;51,35;85,32;69,88;39,82;59,85;67,3;Alto;67,3;80,1;57,2;55,81
Ipirá;59343;51,12;17055;251;59,87;46,77;83,16;63,04;20,5;51,33;54,9;Baixo;63,3;81,2;55,1;52,94
Irecê;66181;7,8;19622;397;80,34;28,68;83,14;66,54;46,17;56,1;69,1;Alto;67,8;78,9;57,2;59,95
Itaberaba;61631;21,33;17743;346;73,66;65,05;83,12;66,24;35,66;55,94;62;Alto;63;79,9;57,9;59,05
Itamaraju;63069;21,06;18636;367;67,97;51,71;82,61;66,32;30,73;54,05;62,7;Alto;65,6;79;56,8;55,8
Itapetinga;68273;2,93;19294;431;77,7;90,28;83,82;71,25;42,91;58,86;66,7;Alto;65,7;82,6;55,3;49,62
Jacobina;79247;29,5;24883;372;73,89;51,91;84,01;68,74;40,04;58,28;64,9;Alto;65,1;81,1;58,4;55,37
Jaguaquara;51011;23,84;14077;270;61,75;28,88;82,12;63,75;25,96;54,18;58;Médio Baixo;62,6;77,2;55,9;51,43
Luís Eduardo Magalhães;60105;8,69;17769;709;89,75;16,17;80,24;68,27;47,04;66,33;71,6;Alto;64,1;81,2;58,7;63,37
Monte Santo;52338;83,1;14487;188;49,24;8,93;82,09;58,73;13,69;49,35;50,6;Baixo;63,7;77,7;53,2;55,17
Santo Amaro;57800;22,55;16997;333;80,73;53,47;85,2;61,96;45,71;51,13;64,6;Alto;60,9;81;60;56,9
Santo Antônio de Jesus;90985;12,84;27427;448;81,03;62,64;85,32;70,6;47,82;61,7;70;Alto;68,1;78,8;58,1;54,98
Senhor do Bonfim;74419;22,65;22072;369;75,81;53,42;83,7;64,35;43,87;51,99;66,6;Alto;68,7;79,6;55,1;58,33
Serrinha;76762;38,53;21765;338;74,94;46,15;83,57;61,89;40,31;57,54;63,4;Alto;64,1;81,3;59,1;56,12
Tucano;52418;58,11;14880;234;57,34;40,74;82,99;62,72;20,73;53,3;57,9;Médio Baixo;63,2;81,7;52;66,14
Valença;88673;27,41;26342;351;71,83;59,15;83,22;67,35;37,84;59,49;62,3;Alto;68,7;79,1;57,2;55,39
Alagoinhas;141949;12,62;41637;478;84,42;53,48;85,38;63,63;54,72;55,3;68,3;Alto;65,2;82,3;61,6;57,38
Barreiras;137427;9,96;38577;530;84,9;33,63;82,72;65,85;54,21;59,39;72,1;Alto;69,5;80,7;66,8;57,04
Camaçari;242970;4,53;73991;475;88,44;62,37;83,55;64,25;54,39;61,8;69,4;Alto;71;82;61,9;54,58
Eunápolis;100196;6,77;29461;484;78,56;34,76;82,54;65,05;45,75;59,27;67,7;Alto;65,7;79,6;59,4;58,77
Ilhéus;184236;15,72;56003;506;81,32;58,02;84,17;68,79;49,5;56,57;69;Alto;67;79,4;66,7;58,75
Itabuna;204667;2,45;63020;546;83,98;78,14;85,52;66,91;53,66;56,3;71,2;Alto;75,4;82,6;59;57,45
Jequié;151895;8,21;45309;409;75,87;75,63;84,58;66,38;44,77;54,91;66,5;Alto;66,1;77,6;64,3;56,59
Juazeiro;197965;18,79;55019;405;80,75;62,17;81,91;63,35;46,75;55,25;67,7;Alto;68,1;79,8;61,6;57,23
Lauro de Freitas;163449;0;49435;878;92,5;78,62;84,88;67,33;65,25;63,39;75,4;Alto;78,1;82,7;66,3;65,19
Paulo Afonso;108396;13,83;31139;455;75,23;79,32;83,89;62,9;44,52;51,86;67,4;Alto;68,1;79;59,2;58,85
Porto Seguro;126929;18;38361;457;83,38;51,35;80,33;68,32;45,59;63,11;67,6;Alto;68,8;80,8;59;56,93
Simões Filho;118047;10,37;35000;372;88,5;57,96;82,73;59,99;53,96;57,58;67,5;Alto;68,3;80;58,8;52,58
Teixeira de Freitas;138341;6,56;41028;493;78,48;63,06;82,87;67,74;44,84;60,22;68,5;Alto;67,7;81,5;62,2;54,08
Vitória da Conquista;306866;10,47;86460;484;80;56,8;83,95;68,28;44,85;59,3;67,8;Alto;65,9;79,6;65;55,88
Feira de Santana;556642;8,27;162864;514;86,21;53,02;84,69;67,62;54,37;62;71,2;Alto;69,5;80,7;64,3;60,79
Salvador;2675656;0,03;858887;786;93,71;89,87;87,12;67,04;67,99;61,83;75,9;Alto;77,2;83,5;67,9;64,49
