Municipio;População residente;Perc População Rural; Unidade Domestica ; Rendimento mensal total domiciliar per capita nominal ;Perc Alfabetizacao;Perc Saneamento Adequado;Perc Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência;Perc Pessoas mais de 10 anos com rendimento;Perc Pessoas acima 25 anos com pelo menos fundamento completo;Perc Economicamente Ativa com Rendimento;IDHM 2010;IDHM Faixas;IDHM Renda 2010;IDHM Longevidade 2010;IDHM Educação 2010;Gini
Novo Horizonte;10673;67,16;3051;237;66,91;1,02;84;59,84;21,1;45,96;59,7;Médio Alto;53,6;76,4;45,4;57,62
Novo Triunfo;15051;50,15;3644;196;66,21;50,82;83,24;52,74;24,69;51,03;55,4;Baixo;54,3;77,3;45,6;51,97
Ourolândia;16425;61,39;4668;203;61,32;5,89;80,59;65,77;21,22;55,74;56;Baixo;56,6;77;46,9;53,36
Pau Brasil;10852;31,98;3152;255;61,56;60,53;79,13;59,43;25,12;44,53;58,3;Médio Baixo;57,7;69,9;45,1;56,75
Pé de Serra;13752;62,38;4056;230;64,06;2,69;84,27;65,3;19,42;55,51;58,7;Médio Baixo;58,6;74,7;44,6;46,24
Pedro Alexandre;16995;83,61;4274;163;44;2,06;80,07;56,4;15,77;50,82;51,3;Baixo;56,3;74,1;47,9;51,25
Piatã;17982;57,67;4858;234;65,28;4,51;82,95;53,74;17,59;47,52;57,1;Médio Baixo;55,3;74;50,4;55,69
Pindaí;15628;72,36;4164;238;63,46;0,79;85,52;64,62;21,2;55,34;60,3;Médio Alto;57,3;73,3;47,1;45,13
Pintadas;10342;43,53;2866;277;64,2;47,56;84,49;62,4;22,68;53,29;61,2;Médio Alto;53,8;74;46,9;47,33
Piripá;12783;51,54;3349;239;60,03;3,34;85,43;56,33;22,87;41,06;57,5;Médio Baixo;57,1;73,7;43,1;49,57
Ponto Novo;15742;46,61;4501;214;63,94;9,78;81,49;58,33;21,75;50,38;58;Médio Baixo;54,7;75,3;46,9;50,77
Presidente Dutra;13750;34,14;4041;237;77,08;6,76;83,84;62,78;30,49;42,19;61,4;Médio Alto;55,3;75,7;47,5;55,26
Presidente Jânio Quadros;13652;69,25;3792;216;48,48;23,07;85,28;59,44;13,21;46,14;54,2;Baixo;50,7;74,3;46,7;55,48
Retirolândia;12055;44,24;3675;276;71,2;16,11;84,71;68,4;29,88;57,22;63,6;Alto;59;71,2;47,7;47,53
Ribeira do Amparo;14276;86,54;3933;177;50,01;0,43;83;57,02;14,69;50,37;51,2;Baixo;53,3;77,6;46;53,55
Rio de Contas;13007;51,5;3721;290;68,03;20,64;88,36;63,91;24,66;44,79;60,5;Médio Alto;59,4;80,7;41,3;49,3
Rio do Antônio;14815;59,55;4012;218;56,95;6,51;85,47;60,52;19,07;48,59;57,6;Médio Baixo;54,9;74,7;47,1;49,5
Rio do Pires;11918;55,81;3249;262;57,48;0,74;86,33;60,62;21,45;44,64;59,4;Médio Alto;54,3;74;46,3;48,81
Salinas da Margarida;13456;55,71;3833;264;82,37;11,43;82,79;66,48;42,17;60,47;61,7;Alto;57,7;79,6;43,3;54,68
Santa Bárbara;19064;54,53;5413;233;67,89;5,3;82,96;59,07;25,37;49,9;58,3;Médio Baixo;64,3;80,1;40,4;53,47
Santa Brígida;15060;62,74;4174;204;52,07;30,83;81,48;61,96;17,87;59,46;54,6;Baixo;56,3;70,4;47,9;55,46
Santa Inês;10363;8,19;3226;278;57,5;62,46;85,08;64,68;27,87;48,94;57,4;Médio Baixo;51,7;75,3;46,6;49,21
Santa Luzia;13344;39,51;3971;245;57,55;40,29;82,29;61,19;19,49;50,02;55,6;Baixo;51,8;73,7;46,3;46,39
São Félix;14098;34,28;3695;303;76,79;56,83;86,39;61,32;39,52;56,37;63,9;Alto;55;74,4;49;49,21
São Félix do Coribe;13048;18,86;3683;372;75,98;1,28;81,62;65,56;32,41;53,36;63,9;Alto;53,5;77,8;48;50,58
São Gabriel;18427;43,05;5121;201;72,04;7,32;81,8;62,98;29,38;49,76;59,2;Médio Alto;53;77,5;51,2;51,81
São José do Jacuípe;10180;31,33;3142;236;58,64;31,29;82,6;70,82;17,28;54,57;55,2;Baixo;55,2;68,5;46,7;46,64
São Miguel das Matas;10414;67,74;3098;247;63,57;14,01;83,74;68,42;20,44;62,28;59,3;Médio Alto;54,3;77;44,6;52,13
Sapeaçu;16585;51,26;4779;279;76,11;3,45;84,6;61,96;31,54;54,18;61,4;Médio Alto;54,5;80,7;49,1;59,05
Sátiro Dias;18964;77,16;5156;197;57,03;23,74;82,55;57,8;15,59;58,67;52,7;Baixo;54,8;76,4;48;54,48
Saubara;11201;2,26;3538;265;77,89;27,05;84,61;63,3;37,75;54,82;61,7;Alto;56,8;72,9;45,2;50,05
Saúde;11845;43,89;3539;236;67,95;19,75;82,66;56,01;25,54;50,96;54,9;Baixo;50,6;75,1;46,4;55,25
Sebastião Laranjeiras;10371;60,62;2628;243;62,53;9,17;85,77;64,19;24,1;52,36;61,5;Alto;57,3;70,8;46,2;46,35
Serra Dourada;18112;66,86;4990;228;64,56;0,9;83,98;57,69;24,96;48,68;60,8;Médio Alto;57,4;76,1;49,1;51,43
Serra Preta;15401;55,07;4311;235;58,5;9,77;84,58;58,67;20,96;49,92;56,6;Baixo;52,7;75,7;48,2;48,87
Serrolândia;12344;41,03;4044;248;65,89;4,45;84,44;66,36;24,99;57,58;59;Médio Alto;54,4;77,8;46,3;50,98
