Municipio;População residente;População Rural; Unidade Domestica ; Rendimento mensal total domiciliar per capita nominal ;Analfabetismo;Residencia sem Saneamento;Saneamento Semi-Inadequado;Saneamento Inadequado;Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência;Perc Pessoas mais de 10 anos sem rendimento;Perc Pessoas mais de 10 anos com menos 1 salario;Perc Pessoas acima 25 anos sem Instrucao e fundamental incompleto;Economicamente Ativa;Perc Economicamente Ativa - Sem Rendimento;Não Economicamente Ativa;Perc Não Economicamente Ativa - Com Rendimento;IDHM 2010;IDHM Renda 2010;IDHM Longevidade 2010;IDHM Educação 2010;Gini
Cardeal da Silva;8899;5998;2375;218;2754;1774;2932;1083;2435;51,00;39,13;74,71;3205;28,77;3977;31,09;55,20;52,40;73,60;37,90;54,72
Caturama;8843;6469;2410;229;3818;3366;1992;1850;3443;36,44;53,54;83,69;3719;22,34;3835;49,89;57,10;56,60;75,90;36,60;50,38
Cordeiros;8168;5617;2211;254;3184;2487;3241;1349;2930;37,45;50,13;81,94;3201;20,44;3862;48,45;57,90;53,50;74,90;40,70;45,58
Cravolândia;5041;1861;1464;232;2042;1002;1056;965;2172;34,01;54,39;72,55;2338;14,69;1817;41,14;59,90;55,50;73,50;41,30;53,16
Elísio Medrado;7947;4699;2558;286;3126;1453;3674;903;3861;33,42;51,82;75,76;4085;22,68;2731;50,51;62,30;56,40;76,80;39,60;50,70
Feira da Mata;6184;2941;1742;216;2056;2150;2652;1868;2056;44,74;45,94;79,64;2201;28,41;3003;43,31;58,80;56,80;74,80;39,00;54,67
Firmino Alves;5384;1047;1602;310;1850;427;1649;382;2060;30,09;51,61;74,64;2311;9,58;2176;48,12;57,80;55,80;75,20;38,30;43,75
Gongogi;8357;2999;2241;220;3490;1948;961;1004;2763;42,79;44,84;75,90;3251;16,79;3708;34,41;57,60;54,20;76,50;38,70;47,81
Ibirapuã;7956;3424;2454;395;2748;2047;1272;1270;3322;31,11;43,94;74,61;3613;9,88;3009;43,40;61,40;54,30;68,50;46,00;51,30
Ichu;5255;1890;1555;283;1132;1323;3356;1231;2208;34,16;50,65;65,16;2367;15,80;2083;44,99;63,10;51,60;77,80;43,00;47,25
Ipupiara;9285;3306;2730;254;2264;1322;3816;708;3217;39,02;47,50;76,53;3733;24,29;4177;47,82;59,00;54,60;68,50;44,20;50,52
Irajuba;7002;3729;2113;238;2798;2219;2925;1549;2762;38,67;51,24;77,77;3074;19,65;2693;39,60;57,60;54,30;69,40;42,60;52,36
Itagimirim;7110;1461;2166;326;2876;793;703;565;2496;37,77;43,18;67,95;2932;13,11;2936;37,61;63,40;56,10;74,80;41,50;52,77
Itaju do Colônia;7309;1449;2171;265;2614;1284;837;848;2644;36,14;47,68;72,78;3065;15,05;2773;40,55;59,20;52,90;74,70;42,20;48,25
Itamari;7903;2064;2387;300;3188;1450;1949;919;3210;31,92;49,98;72,77;3593;12,56;2909;44,17;57,80;53,50;76,40;39,50;52,32
Itanagra;7598;5271;2156;265;2564;2022;2397;1330;2502;45,34;40,86;74,78;2961;20,18;3097;30,61;58,40;53,30;71,00;43,10;63,54
Itaquara;7678;3070;2224;224;3882;1558;1155;939;2786;44,95;47,20;84,00;3178;25,46;3372;36,68;55,30;54,50;74,90;36,00;57,08
Jaborandi;8973;5933;2660;246;3486;1714;2105;1090;3186;43,06;45,53;76,07;3906;32,47;3877;46,28;61,30;54,10;75,60;41,80;63,54
Jussari;6474;1598;2001;268;2762;824;977;619;2016;41,76;43,80;73,28;2388;14,93;2984;36,76;56,70;56,50;75,10;36,80;52,63
Jussiape;8031;4963;2382;281;3272;965;3408;558;3686;28,29;51,62;77,34;3812;13,70;3242;54,54;60,20;55,80;76,30;39,70;45,87
Lajedo do Tabocal;8305;3156;2437;219;3562;1236;3843;731;3221;36,74;53,36;81,00;3551;14,29;3362;39,55;58,40;55,30;68,60;42,90;47,13
Lamarão;9560;7475;2452;189;4496;5623;1100;2780;3765;47,03;45,31;83,31;4047;33,93;3842;39,17;51,80;51,50;69,90;35,90;50,27
Macururé;8073;5213;2098;230;2972;3342;2472;2115;3005;43,18;45,21;69,40;3314;25,94;3252;39,26;60,40;53,30;74,70;42,70;54,67
Maetinga;7038;4221;1982;245;3506;3318;1353;2117;3329;35,43;49,98;85,94;3438;22,59;2556;47,30;53,80;50,30;69,40;38,40;46,07
Maiquinique;8782;1866;2700;329;3448;1492;387;939;3381;32,50;54,02;73,20;3897;13,13;3386;45,21;57,60;53,50;75,30;45,30;47,03
Malhada de Pedras;8468;5234;2366;242;3358;4558;1694;2476;3289;41,38;46,93;81,69;3438;25,61;3794;44,34;57,80;55,40;78,90;37,00;48,43
Morpará;8280;2742;2393;216;3336;2300;2998;1454;2609;45,80;43,23;82,44;3056;33,29;3825;44,20;55,80;55,20;69,50;39,50;55,57
Muniz Ferreira;7317;3923;2249;279;2556;1945;2490;1220;2896;35,59;50,74;69,31;3260;18,16;3041;45,72;61,70;55,20;76,30;40,70;52,03
Nova Fátima;7602;2528;2408;275;2760;917;1280;533;3211;32,37;54,50;77,51;3495;14,68;3041;47,30;59,70;56,30;77,00;38,60;44,32
Nova Ibiá;6648;3841;2022;308;2816;3581;530;2549;2882;31,23;52,40;80,19;3043;9,30;2458;41,61;57,00;52,20;77,10;39,20;56,35
