IDHM Longevidade 2010,IDHM Renda 2010,Saneamento Inadequado,População Rural,Gini,IDHM Educação 2010,IDHM 2010,Municipio,Selected
continuous,continuous,continuous,continuous,continuous,continuous,continuous,string,discrete
,,,,,,class,meta,meta
80.7,60.0,1469.0,20242.0,53.6,51.0,54.7,Jeremoabo,No
79.3,58.7,434.0,8979.0,53.84,49.1,59.3,João Dourado,No
78.6,57.4,1904.0,16120.0,51.41,50.3,58.6,Laje,No
78.9,56.4,393.0,15595.0,52.64,51.4,59.6,Lapão,No
76.9,62.1,1344.0,22162.0,53.78,54.1,61.1,Livramento de Nossa Senhora,No
77.2,63.6,463.0,31642.0,56.04,55.8,60.9,Macaúbas,No
75.1,61.4,1021.0,6906.0,51.78,46.5,60.7,Maracás,No
79.0,62.4,1537.0,17721.0,57.41,52.5,62.1,Maragogipe,No
78.4,60.1,379.0,10359.0,58.66,55.5,66.8,Mata de São João,No
74.4,57.6,588.0,4495.0,54.34,50.8,62.5,Medeiros Neto,No
76.6,60.8,647.0,10410.0,54.8,48.7,58.6,Miguel Calmon,No
76.9,63.8,1145.0,14895.0,51.65,48.5,58.8,Morro do Chapéu,No
76.6,60.6,601.0,8535.0,59.69,54.8,66.5,Mucuri,No
78.6,57.3,964.0,10831.0,65.85,50.4,59.0,Mundo Novo,No
77.7,62.6,1011.0,10860.0,56.18,50.1,66.0,Muritiba,No
76.6,59.5,1867.0,11791.0,64.23,46.9,60.1,Mutuípe,No
77.7,56.9,654.0,4410.0,61.05,52.7,64.1,Nazaré,No
76.7,58.0,964.0,12406.0,57.86,49.8,55.5,Nova Soure,No
77.5,61.5,585.0,5032.0,62.3,53.3,65.4,Nova Viçosa,No
80.5,57.8,694.0,12170.0,59.67,47.9,55.9,Olindina,No
77.5,53.4,709.0,15247.0,57.26,49.0,55.4,Oliveira dos Brejinhos,No
73.9,59.8,1624.0,10942.0,49.36,47.4,58.6,Palmas de Monte Alto,No
76.2,58.8,641.0,10973.0,51.34,48.2,61.5,Paramirim,No
77.5,58.2,1567.0,18599.0,55.47,53.1,59.0,Paratinga,No
77.1,61.1,2302.0,18245.0,59.11,47.6,57.7,Paripiranga,No
75.8,60.7,2754.0,21832.0,60.16,50.7,50.6,Pilão Arcado,No
74.6,56.1,527.0,8883.0,51.45,49.6,57.7,Pindobaçu,No
77.5,53.9,610.0,7237.0,52.64,53.7,57.8,Piritiba,No
73.9,55.1,1403.0,9611.0,46.34,55.0,56.0,Planalto,No
77.3,57.9,700.0,10040.0,55.27,57.4,60.4,Poções,No
82.1,60.2,253.0,4689.0,52.5,51.6,66.6,Pojuca,No
73.5,60.2,1253.0,12153.0,56.07,52.2,62.1,Prado,No
76.9,60.1,2071.0,14277.0,55.17,48.2,55.9,Presidente Tancredo Neves,No
78.9,60.8,1458.0,12109.0,52.01,47.6,59.2,Queimadas,No
79.8,58.3,1799.0,20851.0,58.33,47.4,54.4,Quijingue,No
77.4,51.9,2048.0,16023.0,50.31,51.0,56.4,Rafael Jambeiro,No
75.5,58.8,1521.0,15485.0,54.65,55.9,57.9,Remanso,No
73.4,53.3,1560.0,11192.0,54.34,53.0,57.8,Riachão das Neves,No
80.7,61.6,667.0,13312.0,48.07,49.2,62.8,Riachão do Jacuípe,No
77.5,61.3,1464.0,17554.0,56.25,51.0,61.5,Riacho de Santana,No
76.2,61.5,420.0,17762.0,54.38,57.7,60.1,Ribeira do Pombal,No
75.2,63.6,1156.0,13855.0,53.79,51.6,57.2,Rio Real,No
