IDHM Educação 2010,Gini,Perc Saneamento Adequado,"Perc Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência",Perc Pessoas mais de 10 anos com rendimento,População residente,IDHM 2010,Municipio,Neural Network,Selected
continuous,continuous,continuous,continuous,continuous,continuous,continuous,string,continuous,discrete
,,,,,,class,meta,meta,meta
48.3,51.81,69.8,84.24,66.59,18539.0,61.0,Itarantim,62.202157368562695,No
45.4,47.09,2.04,82.22,62.45,14522.0,58.2,Itatim,55.6987357679339,No
45.8,50.39,43.55,84.04,67.55,12693.0,60.0,Itiruçu,60.19632283340549,No
51.0,46.39,67.34,83.7,65.74,19914.0,59.4,Itororó,60.86444405638274,No
48.4,52.74,7.16,84.24,62.07,18127.0,57.0,Ituaçu,59.19173608530754,No
42.5,47.16,12.21,82.15,63.09,10900.0,59.1,Iuiú,55.5172304785859,No
45.2,47.62,5.32,86.84,64.65,13651.0,59.3,Jacaraci,58.922779481976406,No
47.1,55.92,4.01,82.06,66.04,16467.0,55.6,Jaguaripe,58.95537056570664,No
42.2,54.72,2.56,79.39,56.05,10331.0,55.0,Jandaíra,54.349729953277006,No
47.7,50.46,26.78,83.39,64.78,14118.0,55.3,Jiquiriçá,59.16280864742798,No
42.6,51.29,43.59,83.43,61.77,14115.0,57.5,Jitaúna,58.44945953936639,No
41.3,56.1,30.13,83.02,49.89,10290.0,54.1,Jucuruçu,56.7662502379928,No
43.6,52.37,0.84,80.68,66.19,15052.0,57.1,Jussara,56.31429312451133,No
46.4,48.53,1.54,84.76,59.91,13934.0,54.5,Lagoa Real,57.35066253635816,No
47.0,61.5,53.6,81.0,62.74,10368.0,62.3,Lençóis,61.296162780856505,No
46.1,45.44,1.41,84.87,69.41,12311.0,62.1,Licínio de Almeida,58.0027646709774,No
45.0,56.39,42.6,80.44,53.67,11229.0,52.4,Macajuba,57.31424889511027,No
50.8,47.13,73.25,83.99,67.87,17093.0,60.5,Macarani,61.74668565283675,No
53.9,56.31,91.55,85.13,55.76,17376.0,70.8,Madre de Deus,64.39288584635295,No
49.1,50.96,46.19,84.09,65.23,19326.0,57.2,Mairi,60.89804065442195,No
42.9,49.13,8.05,79.95,57.35,16014.0,56.2,Malhada,53.80865703517489,No
47.2,51.44,1.52,83.33,59.16,14387.0,56.6,Manoel Vitorino,57.35894749277029,No
45.9,55.04,0.14,81.65,47.93,12592.0,59.9,Mansidão,55.2302346975827,No
47.1,71.3,7.52,79.84,63.07,19101.0,59.3,Maraú,61.396494095184636,No
43.7,51.13,5.1,81.85,52.94,10500.0,56.1,Marcionílio Souza,54.791197681823235,No
47.4,60.26,40.81,80.56,53.29,14640.0,58.1,Mascote,58.82563066030134,No
45.6,45.28,1.31,82.57,64.38,11145.0,57.2,Matina,55.734596528620315,No
42.4,52.5,3.69,83.42,65.85,10306.0,62.2,Milagres,57.70100191211489,No
49.6,51.83,16.82,82.41,58.09,16279.0,54.2,Mirangaba,57.95229394639384,No
33.5,52.17,19.24,84.18,60.66,10507.0,52.7,Mirante,55.83087797686232,No
47.3,47.89,1.63,86.24,68.28,12477.0,61.8,Mortugaba,59.54303052377166,No
41.5,53.15,30.96,82.24,62.5,10545.0,60.6,Mucugê,57.58548329204822,No
50.9,49.52,0.27,80.39,63.0,12249.0,56.6,Mulungu do Morro,56.55989849827162,No
42.4,54.95,5.05,78.11,50.6,10272.0,54.9,Muquém de São Francisco,52.97528705543638,No
45.3,55.3,26.21,82.25,56.48,12530.0,54.7,Nilo Peçanha,57.90476298242067,No
47.2,54.16,1.2,82.41,54.97,12371.0,56.0,Nordestina,56.873835621066306,No
47.9,48.1,42.76,83.16,63.67,16713.0,54.5,Nova Canaã,58.948111065469845,No
45.4,57.62,1.02,84.0,59.84,10673.0,59.7,Novo Horizonte,59.025068450002806,No
45.6,51.97,50.82,83.24,52.74,15051.0,55.4,Novo Triunfo,58.10621136535826,No
46.9,53.36,5.89,80.59,65.77,16425.0,56.0,Ourolândia,57.42847916492036,No
45.1,56.75,60.53,79.13,59.43,10852.0,58.3,Pau Brasil,58.30946630500691,No
44.6,46.24,2.69,84.27,65.3,13752.0,58.7,Pé de Serra,56.93821506750932,No
47.9,51.25,2.06,80.07,56.4,16995.0,51.3,Pedro Alexandre,55.19503106787723,No
50.4,55.69,4.51,82.95,53.74,17982.0,57.1,Piatã,58.2804613230998,No
47.1,45.13,0.79,85.52,64.62,15628.0,60.3,Pindaí,57.763284875844604,No
46.9,47.33,47.56,84.49,62.4,10342.0,61.2,Pintadas,59.2664887092591,No
43.1,49.57,3.34,85.43,56.33,12783.0,57.5,Piripá,56.76207986175582,No
46.9,50.77,9.78,81.49,58.33,15742.0,58.0,Ponto Novo,56.26951185430043,No
47.5,55.26,6.76,83.84,62.78,13750.0,61.4,Presidente Dutra,59.498725357719955,No
46.7,55.48,23.07,85.28,59.44,13652.0,54.2,Presidente Jânio Quadros,60.35064468015355,No
47.7,47.53,16.11,84.71,68.4,12055.0,63.6,Retirolândia,59.2739381685683,No
46.0,53.55,0.43,83.0,57.02,14276.0,51.2,Ribeira do Amparo,57.06749831720893,No
41.3,49.3,20.64,88.36,63.91,13007.0,60.5,Rio de Contas,59.85018027290901,No
47.1,49.5,6.51,85.47,60.52,14815.0,57.6,Rio do Antônio,58.47546528998949,No
46.3,48.81,0.74,86.33,60.62,11918.0,59.4,Rio do Pires,58.376822524126446,No
43.3,54.68,11.43,82.79,66.48,13456.0,61.7,Salinas da Margarida,58.54026889130241,No
40.4,53.47,5.3,82.96,59.07,19064.0,58.3,Santa Bárbara,56.26055412864977,No
47.9,55.46,30.83,81.48,61.96,15060.0,54.6,Santa Brígida,59.150778885021055,No
46.6,49.21,62.46,85.08,64.68,10363.0,57.4,Santa Inês,60.99566434055216,No
46.3,46.39,40.29,82.29,61.19,13344.0,55.6,Santa Luzia,57.13650163344225,No
49.0,49.21,56.83,86.39,61.32,14098.0,63.9,São Félix,61.557211715422866,No
48.0,50.58,1.28,81.62,65.56,13048.0,63.9,São Félix do Coribe,57.3168588167089,No
51.2,51.81,7.32,81.8,62.98,18427.0,59.2,São Gabriel,58.33974453870805,No
46.7,46.64,31.29,82.6,70.82,10180.0,55.2,São José do Jacuípe,58.59255453994201,No
44.6,52.13,14.01,83.74,68.42,10414.0,59.3,São Miguel das Matas,59.119341380046805,No
49.1,59.05,3.45,84.6,61.96,16585.0,61.4,Sapeaçu,61.0404931372679,No
48.0,54.48,23.74,82.55,57.8,18964.0,52.7,Sátiro Dias,58.60296407470979,No
45.2,50.05,27.05,84.61,63.3,11201.0,61.7,Saubara,58.954869924368886,No
46.4,55.25,19.75,82.66,56.01,11845.0,54.9,Saúde,58.04125411033411,No
46.2,46.35,9.17,85.77,64.19,10371.0,61.5,Sebastião Laranjeiras,58.2851282083009,No
49.1,51.43,0.9,83.98,57.69,18112.0,60.8,Serra Dourada,57.922575057696974,No
48.2,48.87,9.77,84.58,58.67,15401.0,56.6,Serra Preta,57.90014869453499,No
46.3,50.98,4.45,84.44,66.36,12344.0,59.0,Serrolândia,58.90400706668594,No
43.5,59.56,12.04,78.43,45.66,12050.0,56.4,Sítio do Mato,54.144127292596586,No
42.4,55.68,16.07,83.4,61.99,12592.0,53.3,Sítio do Quinto,58.43632204493173,No
53.8,54.38,1.37,81.15,57.83,15899.0,59.2,Souto Soares,58.188830898229625,No
43.4,54.1,0.16,82.73,54.62,11431.0,58.4,Tabocas do Brejo Velho,56.06621558416347,No
48.0,59.97,1.39,83.08,65.96,16128.0,59.9,Tanque Novo,60.6897446039701,No
48.1,53.5,27.4,80.31,65.79,18748.0,56.6,Taperoá,58.47296181376201,No
49.0,61.91,2.18,80.77,56.57,16516.0,59.4,Tapiramutá,58.67439207924217,No
45.3,48.59,21.87,81.74,60.19,14836.0,55.5,Teolândia,56.25685504582,No
43.0,45.76,51.69,84.19,60.2,12803.0,57.8,Terra Nova,57.61595913925627,No
47.2,48.65,6.29,86.55,62.02,17029.0,52.8,Tremedal,59.12573246200877,No
51.3,58.31,33.7,83.9,63.59,19750.0,58.2,Ubaíra,62.45480042316308,No
47.9,53.71,1.91,84.89,65.54,13625.0,61.7,Uibaí,60.01809664722655,No
47.5,50.74,1.56,82.54,50.72,17000.0,51.5,Umburanas,55.48610567833744,No
48.8,51.26,7.42,85.0,63.39,16466.0,59.8,Urandi,59.545534251116514,No
46.7,49.49,59.78,82.66,65.19,19837.0,61.6,Uruçuca,59.69020870467433,No
48.1,62.53,1.91,81.02,65.58,18173.0,59.0,Utinga,60.16570960388121,No
46.9,49.97,17.05,84.38,65.13,13786.0,53.9,Várzea da Roça,59.0730056719049,No
40.6,49.93,31.51,83.64,66.7,13073.0,55.5,Várzea Nova,58.02006921316972,No
43.8,59.93,0.86,82.5,59.24,12485.0,60.0,Wanderley,58.302679320813716,No
46.6,53.45,26.75,81.06,65.49,21271.0,60.8,Alcobaça,58.47716038118925,No
49.7,56.79,18.63,84.57,66.79,34351.0,62.5,Amargosa,61.98239478939898,No
