Índice de Gini da renda domiciliar per capita segundo Município - Bahia;;;
Período: 1991, 2000 e 2010;;;
292190 Mucugê;0,6174;0,4596;0,5315
292200 Mucuri;0,5397;0,6141;0,5969
292205 Mulungu do Morro;0,4907;0,5947;0,4952
292210 Mundo Novo;0,5597;0,5675;0,6585
292220 Muniz Ferreira;0,4624;0,5341;0,5203
292225 Muquém de São Francisco;0,4567;0,5822;0,5495
292230 Muritiba;0,5212;0,5265;0,5618
292240 Mutuípe;0,5279;0,7139;0,6423
292250 Nazaré;0,5252;0,5681;0,6105
292260 Nilo Peçanha;0,4632;0,5081;0,553
292265 Nordestina;0,4606;0,4869;0,5416
292270 Nova Canaã;0,5855;0,502;0,481
292273 Nova Fátima;0,6392;0,5467;0,4432
292275 Nova Ibiá;0,4953;0,4794;0,5635
292280 Nova Itarana;0,4608;0,5672;0,5603
292285 Nova Redenção;0,5178;0,5607;0,5095
292290 Nova Soure;0,566;0,6068;0,5786
292300 Nova Viçosa;0,5324;0,6173;0,623
292303 Novo Horizonte;0,454;0,5883;0,5762
292305 Novo Triunfo;0,4175;0,507;0,5197
292310 Olindina;0,5184;0,5646;0,5967
292320 Oliveira dos Brejinhos;0,529;0,6441;0,5726
292330 Ouriçangas;0,4666;0,4349;0,4552
292335 Ourolândia;0,6023;0,5752;0,5336
292340 Palmas de Monte Alto;0,4797;0,7624;0,4936
292350 Palmeiras;0,6231;0,5863;0,5834
292360 Paramirim;0,4788;0,733;0,5134
292370 Paratinga;0,4679;0,6636;0,5547
292380 Paripiranga;0,5779;0,488;0,5911
292390 Pau Brasil;0,5349;0,5592;0,5675
292400 Paulo Afonso;0,5867;0,6079;0,5885
292405 Pé de Serra;0,4368;0,556;0,4624
292410 Pedrão;0,4928;0,5446;0,4753
292420 Pedro Alexandre;0,488;0,5101;0,5125
292430 Piatã;0,4535;0,594;0,5569
292440 Pilão Arcado;0,454;0,6435;0,6016
292450 Pindaí;0,5575;0,5373;0,4513
292460 Pindobaçu;0,5674;0,6486;0,5145
292465 Pintadas;0,445;0,5438;0,4733
292467 Piraí do Norte;0,5532;0,4831;0,4941
292470 Piripá;0,4632;0,4774;0,4957
292480 Piritiba;0,5692;0,5673;0,5264
292490 Planaltino;0,4778;0,4973;0,5631
292500 Planalto;0,4514;0,531;0,4634
292510 Poções;0,497;0,6085;0,5527
292520 Pojuca;0,5697;0,5391;0,525
292525 Ponto Novo;0,4803;0,5822;0,5077
292530 Porto Seguro;0,6613;0,6342;0,5693
292540 Potiraguá;0,5075;0,4586;0,4947
292550 Prado;0,5103;0,6732;0,5607
292560 Presidente Dutra;0,5163;0,6033;0,5526
292570 Presidente Jânio Quadros;0,4038;0,522;0,5548
292575 Presidente Tancredo Neves;0,3839;0,5177;0,5517
292580 Queimadas;0,52;0,5739;0,5201
292590 Quijingue;0,4603;0,655;0,5833
292593 Quixabeira;0,5991;0,5654;0,5053
292595 Rafael Jambeiro;0,4873;0,5442;0,5031
292600 Remanso;0,5758;0,6051;0,5465
292610 Retirolândia;0,4717;0,6002;0,4753
292620 Riachão das Neves;0,4978;0,5829;0,5434
292630 Riachão do Jacuípe;0,5385;0,5438;0,4807
292640 Riacho de Santana;0,5101;0,6236;0,5625
292650 Ribeira do Amparo;0,4397;0,4732;0,5355
292660 Ribeira do Pombal;0,5917;0,622;0,5438
292665 Ribeirão do Largo;0,4415;0,4666;0,4718
292670 Rio de Contas;0,5353;0,5506;0,493
292680 Rio do Antônio;0,5058;0,6755;0,495
292690 Rio do Pires;0,4748;0,5808;0,4881
292700 Rio Real;0,6055;0,5768;0,5379
292710 Rodelas;0,4698;0,5275;0,5558
292720 Ruy Barbosa;0,7195;0,6087;0,5634
292730 Salinas da Margarida;0,4344;0,5166;0,5468
292740 Salvador;0,6576;0,6569;0,6449
292750 Santa Bárbara;0,5103;0,5216;0,5347
292760 Santa Brígida;0,4778;0,6292;0,5546
292770 Santa Cruz Cabrália;0,6223;0,6442;0,5875
292780 Santa Cruz da Vitória;0,4976;0,4386;0,5819
292790 Santa Inês;0,513;0,5224;0,4921
292805 Santa Luzia;0,5202;0,4279;0,4639
