Num_Infracao;Infracao_Descricao;Responsavel;Valor_Multa;;Orgao_Autuador;Artigo;
66372;"Conduzir o veículo com equipamento obrigatório
ineficiente/inoperante";Proprietário;195,23;Consultar CTB;Estadual/Rodov;230 * IX;
66450;Conduzir o veículo com equip obrigatório em desacordo com o estab pelo Contran;Proprietário;195,23;Consultar CTB;Estadual/Rodov;230 * X;
66531;Conduzir o veículo com descarga livre;Proprietário;195,23;Consultar o CTB;Estadual/Rodov;230 * XI;
66532;Conduzir o veículo com silenciador de motor defeituoso/deficiente/inoperante;Proprietário;195,23;Consultar o CTB;Estadual/Rodov;230 * XI;
66610;"Conduzir o veículo com equipamento ou acessório
proibido";Proprietário;195,23;Consultar o CTB;Estadual/Rodov;230 * XII;
66700;Conduzir o veículo c/ equip do sistema de iluminação e de sinalização alterados;Proprietário;195,23;Consultar o CTB;Estadual/Rodov;230 * XIII;
66880;"Conduzir veículo c/ registrador instan inalt de
velocidade/tempo viciado/defeituoso";Proprietário;195,23;Consultar CTB;Estadual/Rodov;230 * XIV;
66961;Conduzir c/ inscr/adesivo/legenda/símbolo afixado pára-brisa e extensão traseira;Proprietário;195,23;Consultar CTB;Estadual/Rodov;230 * XV;
66962;"Conduzir c/ inscr/adesivo/legenda/símbolo pintado
pára-brisa e extensão traseira";Proprietário;195,23;Consultar CTB;Estadual/Rodov;230 * XV;
67000;Conduzir veíc com vidro total/parcialmente coberto por película, painéis/pintura;Proprietário;195,23;Consultar CTB;Estadual/Rodov;230 * XVI;
67180;"Conduzir o veículo com cortinas ou persianas
fechadas";Proprietário;195,23;Consultar CTB;Estadual/Rodov;230 * XVII;
67261;Conduzir o veículo em mau estado de conservação, comprometendo a segurança;Proprietário;195,23;Consultar CTB;Estadual/Rodov;230 * XVIII;
67262;"Conduzir o veículo reprovado na avaliação de
inspeção de segurança";Proprietário;195,23;Consultar CTB;Estadual/Rodov;230 * XVIII;
67263;Conduzir o veículo reprovado na avaliação de emissão de poluentes e ruído;Proprietário;195,23;Consultar CTB;Estadual/Rodov;230 * XVIII;
67340;"Conduzir o veículo sem acionar o limpador de pára-
brisa sob chuva";Proprietário;195,23;Consultar CTB;Estadual/Rodov;230 * XIX;
65480;"Usar no veíc alarme/aparelho produz som perturbe
sossego púb desac norma Contran";Condutor;130,16;Consultar o CTB;Estadual/Rodov;229;
67500;Conduzir o veíc de carga c/ falta inscrição da tara e demais previstas no CTB;Proprietário;130,16;Consultar o CTB;Estadual/Rodov;230 * XXI;
67690;"Conduzir veíc c/ defeito no sist de iluminação,
sinaliz ou lâmpadas queimadas";Proprietário;130,16;Consultar CTB;Estadual/Rodov;230, XXII;
68311;"Transitar com o veículo com excesso de peso
PBT/PBTC";Emb/Transp;130,16;Consultar o CTB;Municipal/Rodov;231 * V;
68312;"Transitar com o veículo com excesso de peso - Por
Eixo";Emb/Transp;130,16;Consultar o CTB;Municipal/Rodov;231 * V;
68313;Transitar com o veículo com excesso de peso - PBT/PBTC e Por Eixo;Emb/Transp;130,16;Consultar o CTB;Municipal/Rodov;231 * V;
68580;Transitar com o veículo com lotação excedente;Condutor;130,16;Consultar o CTB;Est/Munic/Rodov;231 * VII;
68661;Transitar efetuando transporte remunerado de pessoas qdo ñ licenciado p/esse fim;Proprietário;130,16;Consultar o CTB;Est/Munic/Rodov;231 * VIII;
68662;"Transitar efetuando transporte remunerado de bens
qdo não licenciado p/ esse fim";Proprietário;130,16;Consultar o CTB;Est/Munic/Rodov;231 * VIII;
68741;Transitar com o veículo desligado em declive;Condutor;130,16;Consultar o CTB;Municipal/Rodov;231 * IX;
68742;Transitar com o veículo desengrenado em declive;Condutor;130,16;Consultar o CTB;Municipal/Rodov;231 * IX;
